234971955,請問宿舍幹部很難選嗎？很多人報名嗎？,宿舍幹部,2020-12-13T03:53:44.422Z,2020-12-13T03:53:44.422Z,0,0,F
234970375,"好希望學生會可以再出以前那種很單純只有正常校名的大學T或帽T,要不然今年不論是大師T還是北藝動物園又或是藝大書店賣的衣服，穿去校外人家真的不會懂這到底是什麼學校或是什麼潮T",大學T,2020-12-12T16:26:58.622Z,2020-12-12T16:26:58.622Z,5,16,F
234969405,綜合宿舍洗衣服或烘衣服拜託放個洗衣籃，很常看到衣服洗好烘好很久都沒人拿，這樣會帶來別人不便，謝謝各位,拜託一下了,2020-12-12T13:58:18.802Z,2020-12-12T13:58:18.802Z,0,3,M
234969216,女二四樓洗澡唱歌，唱說散就散，妳唱的很好聽😍😍,洗澡唱歌,2020-12-12T13:26:46.520Z,2020-12-12T13:26:46.520Z,0,0,F
234968669,想請問可以寄需要冰的東西到宿舍嗎🤔,需要冰的包裹,2020-12-12T11:39:23.216Z,2020-12-12T11:39:23.216Z,2,0,F
234965069,"請問是有人在七樓最右那台的洗衣機裡面洗寵物相關衣物或者是寵物睡過的墊子等等嗎

若是有的話麻煩不要再這樣囉

剛剛去洗衣服 衣服還沒丟進去 就聞到一股臭味
我頭栽進去聞 還真的差點吐出來
全都是狗狗的很久沒洗澡的臭味

希望能有點公德心 洗衣機是大家公用的 謝謝！",研宿七樓洗衣機,2020-12-11T17:28:29.485Z,2020-12-11T17:29:12.974Z,3,5,F
234952954,這陣子新來一隻超可愛的黑貓，有人知道他的來歷嗎？,女一的黑貓,2020-12-10T02:50:08.641Z,2020-12-10T02:50:08.641Z,4,1,F
234948552,"⚠️協尋⚠️樂器架上的橡皮環

樂器架是新的
可是今天去了一趟401
上面的橡皮環就不見了QQ

類似照片上的樣子
應該是掉在音樂二館
如果有人看到
再麻煩善心人士幫忙送回傳音系系辦QQ❤️
非常感謝
https://i.imgur.com/TDkCdYw.jpg",音樂二館協尋 樂器架零件,2020-12-09T09:42:35.900Z,2020-12-09T09:42:35.900Z,0,1,F
234943146,"正在尋找我的（左耳L）AirPods，由於先前沒先定位，所以無法靠定位找尋。

可能的地方「戲舞大樓一樓」、「研究生宿舍」

想詢問這兩天是否有人看到？謝謝🙏🏻
https://i.imgur.com/J42YebM.jpg",尋找左耳AirPods,2020-12-08T12:38:37.699Z,2020-12-08T12:38:37.699Z,0,3,F
234939235,閉嘴啦，沒有人想聽你唱歌好嗎，閉嘴閉嘴閉嘴我要睡覺,男宿唱歌的閉嘴,2020-12-07T19:30:36.122Z,2020-12-07T19:30:36.122Z,1,4,M
234937761,"佛朗明哥舞蹈跳完後還有聲樂表演
真的不要開玩笑了
女一外面
真的不期待接下來還有什麼新演出",真不愧是藝術大學><,2020-12-07T14:55:59.817Z,2020-12-07T14:58:15.610Z,3,12,F
234935665,"請問大家本校校車有App嗎？
不然都沒辦法即時看他開到哪裡了
（我記得之前有 但是現在要找找不到⋯）
有時候車子也會消失 時間到了沒有出現
又或是不照時間出現
有的話可以貼一下嗎
沒有的話懇請學生會創立

另外校車是否沒有停「關渡公車站」？？
（如下圖所示）
我向他招手老半天 結果直接開走⋯⋯⋯
懇請學生會幫忙改善

-
補充：
1. 查到校車App只有安卓能用 
   希望增設ios版本
2. 建議校車應該都要停每個會經過的公車站
   不能只有關渡捷運站
   學園路口、關渡公車站 應該也要有
   不然這樣只是單純捷運站和學校的接駁而已
   如果有人要在中間轉車會很不方便

可以猜測繪寫ios的app不是校方的人寫出來的
App要花錢請人來建置會比較麻煩
希望停靠站問題是校方比較快可以改進的
增設校車的目的就是要讓學生可以通勤方便
希望交通不便的學校
可以讓沒有騎車的可憐人方便一點😭

感謝🙏🏻

https://megapx-assets.dcard.tw/images/470e853f-4b50-4e23-ac5d-b60d2ba9c521/640.jpeg",校車app？以及校車問題,2020-12-07T08:48:39.566Z,2020-12-07T16:53:54.304Z,9,11,F
234935315,"上次還在這裡看到食堂老闆在徵女友
結果剛剛就看到老闆跟我們學校的學姐手牽手在竹圍逛街欸~~
有人有掛嗎？
求掛

如果真的是那我也要來板上徵男友~~",食堂老闆是不是有女朋友了,2020-12-07T07:46:16.866Z,2020-12-08T13:10:05.713Z,10,18,F
